id,email,label
1,"Congratulations! You won a prize. Click here to claim your reward.","threat"
2,"URGENT! Verify your password immediately or your account will be suspended.","threat"
3,"Your bank account needs verification. Send your OTP now.","threat"
4,"Click here to claim your free gift.","threat"
5,"Your payment has failed. Verify your account immediately.","threat"
6,"You are selected as a winner. Claim your prize now.","threat"
7,"Please update your password using this link.","threat"
8,"Your account has been suspended. Verify your identity now.","threat"
9,"URGENT! Your account requires immediate verification.","threat"
10,"Your password will expire today. Click the link to update it.","threat"
11,"Congratulations! Claim your cash reward immediately.","threat"
12,"Your bank account has been locked. Verify your details now.","threat"
13,"You have won a lottery prize. Send your details to receive it.","threat"
14,"Your payment account needs urgent verification.","threat"
15,"Click here to confirm your account and avoid suspension.","threat"
16,"Security alert! Verify your login information immediately.","threat"
17,"Your account has unusual activity. Confirm your password now.","threat"
18,"You are eligible for a free gift. Claim it today.","threat"
19,"Important security notice. Update your account information now.","threat"
20,"Your OTP is required to complete this urgent transaction.","threat"
21,"Click this link to unlock your suspended account.","threat"
22,"Your credit card payment failed. Verify your account.","threat"
23,"You have been selected for a special reward. Claim now.","threat"
24,"Urgent account warning! Verify your identity immediately.","threat"
25,"Your online banking account requires immediate verification.","threat"
26,"Please send your OTP to confirm the transaction.","threat"
27,"Your account will be permanently suspended unless you verify now.","threat"
28,"Click here to update your banking password.","threat"
29,"Congratulations! You are the lucky winner of a cash prize.","threat"
30,"Your payment information needs to be updated immediately.","threat"
31,"Please attend the project meeting tomorrow at 10 AM.","safe"
32,"The assignment has been uploaded to the class portal.","safe"
33,"Can we meet tomorrow to discuss the project?","safe"
34,"Your order has been delivered successfully.","safe"
35,"Thank you for submitting the report.","safe"
36,"Please attend the team meeting at 3 PM.","safe"
37,"Your application has been received successfully.","safe"
38,"Here is the document we discussed earlier.","safe"
39,"Please review the project presentation.","safe"
40,"Your appointment is confirmed for Monday.","safe"
41,"The project submission deadline is Friday.","safe"
42,"Please find the meeting notes attached.","safe"
43,"Your attendance has been updated successfully.","safe"
44,"The class will begin at 9 AM tomorrow.","safe"
45,"Please send the completed assignment before Friday.","safe"
46,"The project discussion has been moved to Monday.","safe"
47,"Your registration has been completed successfully.","safe"
48,"Thank you for attending today's meeting.","safe"
49,"Please review the attached project document.","safe"
50,"The examination schedule has been published.","safe"
51,"Your order has been shipped successfully.","safe"
52,"Please confirm your attendance for tomorrow's meeting.","safe"
53,"The report looks good. Thank you for your work.","safe"
54,"The presentation is scheduled for next week.","safe"
55,"Please bring your project files to the meeting.","safe"
56,"Your appointment is scheduled for Wednesday morning.","safe"
57,"The requested document has been attached.","safe"
58,"Thank you for completing the application.","safe"
59,"The team meeting will start at 2 PM.","safe"
60,"Please check the project requirements before submission.","safe"
